id,cast_id,character,name,credit_id,department,job,name
48750,9,Thénardier 1942,Philippe Léotard,52fe4773c3a36847f81365fb,Writing,Writer,Claude Lelouch
48750,11,Le policier / Javert,Philippe Khorsand,52fe4773c3a36847f81365ef,Directing,Director,Claude Lelouch
48750,11,Le policier / Javert,Philippe Khorsand,52fe4773c3a36847f81365f5,Writing,Writer,Victor Hugo
48750,11,Le policier / Javert,Philippe Khorsand,52fe4773c3a36847f81365fb,Writing,Writer,Claude Lelouch
48750,12,Le gentil voyou / Kind Hoodlum,Ticky Holgado,52fe4773c3a36847f81365ef,Directing,Director,Claude Lelouch
48750,12,Le gentil voyou / Kind Hoodlum,Ticky Holgado,52fe4773c3a36847f81365f5,Writing,Writer,Victor Hugo
48750,12,Le gentil voyou / Kind Hoodlum,Ticky Holgado,52fe4773c3a36847f81365fb,Writing,Writer,Claude Lelouch
48750,13,Thénardier 1830 / 1990,Rufus,52fe4773c3a36847f81365ef,Directing,Director,Claude Lelouch
48750,13,Thénardier 1830 / 1990,Rufus,52fe4773c3a36847f81365f5,Writing,Writer,Victor Hugo
48750,13,Thénardier 1830 / 1990,Rufus,52fe4773c3a36847f81365fb,Writing,Writer,Claude Lelouch
48750,14,Thénardière 1830 / 1990,Nicole Croisille,52fe4773c3a36847f81365ef,Directing,Director,Claude Lelouch
48750,14,Thénardière 1830 / 1990,Nicole Croisille,52fe4773c3a36847f81365f5,Writing,Writer,Victor Hugo
48750,14,Thénardière 1830 / 1990,Nicole Croisille,52fe4773c3a36847f81365fb,Writing,Writer,Claude Lelouch
48750,15,Toureiffel,William Leymergie,52fe4773c3a36847f81365ef,Directing,Director,Claude Lelouch
48750,15,Toureiffel,William Leymergie,52fe4773c3a36847f81365f5,Writing,Writer,Victor Hugo
48750,15,Toureiffel,William Leymergie,52fe4773c3a36847f81365fb,Writing,Writer,Claude Lelouch
48750,16,Mgr Myriel,Jean Marais,52fe4773c3a36847f81365ef,Directing,Director,Claude Lelouch
48750,16,Mgr Myriel,Jean Marais,52fe4773c3a36847f81365f5,Writing,Writer,Victor Hugo
48750,16,Mgr Myriel,Jean Marais,52fe4773c3a36847f81365fb,Writing,Writer,Claude Lelouch
48750,17,La mère supérieure / Mother Superior,Micheline Presle,52fe4773c3a36847f81365ef,Directing,Director,Claude Lelouch
48750,17,La mère supérieure / Mother Superior,Micheline Presle,52fe4773c3a36847f81365f5,Writing,Writer,Victor Hugo
48750,17,La mère supérieure / Mother Superior,Micheline Presle,52fe4773c3a36847f81365fb,Writing,Writer,Claude Lelouch
48750,18,Le bouquiniste / Bookseller,Darry Cowl,52fe4773c3a36847f81365ef,Directing,Director,Claude Lelouch
48750,18,Le bouquiniste / Bookseller,Darry Cowl,52fe4773c3a36847f81365f5,Writing,Writer,Victor Hugo
48750,18,Le bouquiniste / Bookseller,Darry Cowl,52fe4773c3a36847f81365fb,Writing,Writer,Claude Lelouch
48750,19,Catherine / Fantine,Clémentine Célarié,52fe4773c3a36847f81365ef,Directing,Director,Claude Lelouch
48750,19,Catherine / Fantine,Clémentine Célarié,52fe4773c3a36847f81365f5,Writing,Writer,Victor Hugo
48750,19,Catherine / Fantine,Clémentine Célarié,52fe4773c3a36847f81365fb,Writing,Writer,Claude Lelouch
48750,20,Le comte de Villeneuve,Daniel Toscan du Plantier,52fe4773c3a36847f81365ef,Directing,Director,Claude Lelouch
48750,20,Le comte de Villeneuve,Daniel Toscan du Plantier,52fe4773c3a36847f81365f5,Writing,Writer,Victor Hugo
48750,20,Le comte de Villeneuve,Daniel Toscan du Plantier,52fe4773c3a36847f81365fb,Writing,Writer,Claude Lelouch
47475,1,Martha Alston,Ellen DeGeneres,52fe4735c3a36847f81291bf,Directing,Director,Nick Castle
47475,2,Whitman Crawford,Bill Pullman,52fe4735c3a36847f81291bf,Directing,Director,Nick Castle
47475,3,Inga Gunther,Joan Cusack,52fe4735c3a36847f81291bf,Directing,Director,Nick Castle
47475,7,Jack Tramonte,Dean Stockwell,52fe4735c3a36847f81291bf,Directing,Director,Nick Castle
47475,6,Mrs. Crawford,Joan Plowright,52fe4735c3a36847f81291bf,Directing,Director,Nick Castle
47475,4,Annie,Hope Davis,52fe4735c3a36847f81291bf,Directing,Director,Nick Castle
47475,8,Jane,Ellen Cleghorne,52fe4735c3a36847f81291bf,Directing,Director,Nick Castle
47475,9,Nancy Culpepper,Christine Cattell,52fe4735c3a36847f81291bf,Directing,Director,Nick Castle
47475,10,Dick Braxton,Robert Goulet,52fe4735c3a36847f81291bf,Directing,Director,Nick Castle
32631,3,Paul Racine,Christopher Lambert,52fe44df9251416c9101fc3b,Directing,Director,J. F. Lawton
32631,3,Paul Racine,Christopher Lambert,52fe44df9251416c9101fc41,Writing,Writer,J. F. Lawton
32631,4,Kinjo,John Lone,52fe44df9251416c9101fc3b,Directing,Director,J. F. Lawton
32631,4,Kinjo,John Lone,52fe44df9251416c9101fc41,Writing,Writer,J. F. Lawton
32631,5,Kirina,Joan Chen,52fe44df9251416c9101fc3b,Directing,Director,J. F. Lawton
32631,5,Kirina,Joan Chen,52fe44df9251416c9101fc41,Writing,Writer,J. F. Lawton
32631,6,Takeda Sensei,Yoshio Harada,52fe44df9251416c9101fc3b,Directing,Director,J. F. Lawton
32631,6,Takeda Sensei,Yoshio Harada,52fe44df9251416c9101fc41,Writing,Writer,J. F. Lawton
32631,7,Mieko Takeda,Yoko Shimada,52fe44df9251416c9101fc3b,Directing,Director,J. F. Lawton
32631,7,Mieko Takeda,Yoko Shimada,52fe44df9251416c9101fc41,Writing,Writer,J. F. Lawton
32631,8,Junko,Mari Natsuki,52fe44df9251416c9101fc3b,Directing,Director,J. F. Lawton
32631,8,Junko,Mari Natsuki,52fe44df9251416c9101fc41,Writing,Writer,J. F. Lawton
32631,9,Oshima,Tak Kubota,52fe44df9251416c9101fc3b,Directing,Director,J. F. Lawton
32631,9,Oshima,Tak Kubota,52fe44df9251416c9101fc41,Writing,Writer,J. F. Lawton
32631,11,Lt. Wadakura,Masumi Okada,52fe44df9251416c9101fc3b,Directing,Director,J. F. Lawton
32631,11,Lt. Wadakura,Masumi Okada,52fe44df9251416c9101fc41,Writing,Writer,J. F. Lawton
32631,12,Ryuma,Toshishiro Obata,52fe44df9251416c9101fc3b,Directing,Director,J. F. Lawton
32631,12,Ryuma,Toshishiro Obata,52fe44df9251416c9101fc41,Writing,Writer,J. F. Lawton
17402,1,Gwyn Marcus,Sarah Jessica Parker,52fe47239251416c7508eecf,Directing,Director,David Frankel
17402,1,Gwyn Marcus,Sarah Jessica Parker,52fe47239251416c7508eed5,Writing,Writer,David Frankel
17402,2,Antonio,Antonio Banderas,52fe47239251416c7508eecf,Directing,Director,David Frankel
